distance_km,delivery_time,traffic_level,weather,rider_workload,delay
17,6,0,1,0,0
16,13,2,0,0,0
19,2,1,1,1,0
6,16,2,2,1,1
8,4,1,1,0,0
7,2,2,0,2,1
12,13,1,2,1,1
6,2,0,0,2,0
15,4,0,2,1,0
5,4,0,0,1,0
17,13,0,0,1,0
3,13,1,0,2,1
3,18,0,0,1,0
19,15,0,2,2,1
3,14,2,2,2,1
1,7,2,0,0,1
2,14,1,1,0,1
1,1,2,2,0,1
4,14,2,2,1,1
6,13,0,1,1,0
15,6,1,2,2,1
17,10,0,1,0,0
8,12,2,2,2,1
18,12,1,0,1,0
6,6,0,0,0,0
5,2,2,0,0,0
12,13,2,0,2,1
16,1,2,1,0,0
1,6,2,2,1,1
12,1,2,1,1,1
12,13,2,2,2,1
9,15,2,0,2,1
17,7,2,0,2,1
13,4,1,0,0,0
2,18,0,0,1,0
1,9,0,2,0,1
4,6,0,0,1,0
9,13,2,2,2,1
14,11,2,1,0,0
3,16,0,2,0,1
4,15,2,0,0,1
14,18,2,2,2,1
20,2,1,0,1,0
17,7,2,0,1,0
14,13,1,0,0,0
9,15,1,0,2,0
5,4,1,0,2,0
3,16,2,0,0,1
14,14,2,1,0,0
2,18,0,2,2,1
3,7,1,0,2,1
1,10,0,2,0,1
2,15,2,1,2,1
19,7,0,1,2,0
16,12,2,0,2,1
2,12,2,1,0,1
6,5,2,2,2,1
15,15,1,0,0,0
3,4,2,0,1,0
9,13,0,0,1,0
16,1,2,0,2,1
10,1,2,2,1,1
16,14,1,1,1,0
18,18,2,1,1,1
3,8,2,0,1,1
7,7,0,1,2,0
7,18,0,1,1,1
15,1,1,0,2,0
1,11,1,0,1,1
7,1,0,1,1,0
4,8,0,0,0,0
8,12,1,2,2,1
19,10,2,0,0,0
1,11,1,2,1,1
7,7,1,1,2,1
1,14,0,1,2,1
1,3,2,2,2,1
12,4,2,0,1,0
8,6,1,1,0,0
2,15,2,1,1,1
8,2,2,0,1,0
13,9,2,2,0,1
1,18,0,0,1,0
9,1,2,0,1,0
15,17,0,2,1,0
4,10,0,1,1,0
6,8,1,2,1,1
2,4,0,0,1,0
17,18,1,2,1,1
2,17,1,1,0,1
19,6,2,1,1,1
17,11,0,2,2,1
15,3,1,0,2,0
1,17,2,2,2,1
4,14,2,0,0,1
11,10,0,0,1,0
18,3,2,1,2,1
10,6,0,0,0,0
3,1,0,0,2,0
6,7,2,0,1,0
12,13,1,2,0,0
7,4,0,0,0,0
4,1,0,1,0,0
10,12,0,1,0,0
13,4,1,2,0,0
16,7,0,2,1,0
16,1,1,1,2,1
12,4,0,2,0,0
17,12,1,1,2,1
18,5,1,0,0,0
5,8,0,1,0,0
2,11,2,2,1,1
4,6,0,2,2,1
12,18,2,0,2,1
3,3,1,0,0,0
13,17,1,1,1,0
1,16,1,2,2,1
7,8,2,1,0,0
18,7,2,0,0,0
1,4,2,2,1,1
19,8,0,1,2,0
12,8,0,0,2,0
8,8,0,0,2,0
11,3,2,2,2,1
17,3,0,1,1,0
8,15,2,0,0,0
2,11,0,0,2,1
13,9,1,2,2,1
8,11,1,0,0,0
18,6,1,2,2,1
4,13,1,1,0,1
3,16,0,0,1,0
15,2,0,0,2,0
3,11,2,1,0,1
1,1,2,1,1,1
19,6,0,2,1,0
5,13,2,2,0,1
1,16,2,0,0,1
14,10,2,1,1,1
2,2,0,0,2,0
15,8,1,1,0,0
2,11,1,1,1,1
10,3,1,0,0,0
5,3,1,2,2,1
4,1,0,2,1,0
18,9,0,1,2,0
6,4,1,0,1,0
5,10,0,0,2,0
8,1,1,1,2,1
3,5,2,2,1,1
3,9,1,1,1,1
15,14,0,0,0,0
18,1,0,1,0,0
19,5,2,1,0,0
7,17,1,1,2,1
8,14,0,1,2,0
14,6,2,2,2,1
14,5,2,0,2,1
17,4,1,1,1,0
19,9,2,1,2,1
16,15,2,1,2,1
14,8,0,2,2,1
16,7,1,2,2,1
8,4,0,1,0,0
5,11,2,2,0,1
11,8,0,2,1,0
12,4,2,1,0,0
4,15,1,0,0,0
16,2,1,0,0,0
14,16,0,2,1,0
16,7,0,1,1,0
11,5,1,0,1,0
17,14,2,2,0,1
19,1,0,1,2,0
20,11,2,1,2,1
14,1,0,2,1,0
1,15,2,2,2,1
11,17,2,2,2,1
18,4,2,0,2,1
18,8,0,0,2,0
9,1,1,1,1,0
1,1,0,0,1,0
14,1,1,2,0,0
6,7,2,2,0,1
20,16,1,2,0,0
11,13,0,0,0,0
20,8,2,0,0,0
15,16,0,2,1,0
8,14,0,0,2,0
3,7,1,0,1,0
3,7,1,1,1,1
12,11,2,0,2,1
2,16,0,0,2,1
3,3,1,1,2,1
5,2,1,0,0,0
19,1,1,1,2,1
16,3,1,2,0,0
1,2,0,2,0,0
17,8,2,2,0,1
2,17,0,2,2,1
10,17,0,2,2,1
3,10,1,1,2,1
6,17,1,2,0,1
14,1,2,1,1,1
6,4,1,1,2,1
4,5,1,0,2,0
7,6,0,0,1,0
12,9,0,1,0,0
16,5,2,0,2,1
10,18,0,1,2,0
7,7,2,1,2,1
14,17,0,1,2,0
6,6,1,2,2,1
2,17,2,1,1,1
11,9,2,2,1,1
13,13,2,0,1,0
14,4,1,1,0,0
5,2,1,2,2,1
1,15,1,1,2,1
15,17,0,0,0,0
9,5,1,0,0,0
10,1,2,1,0,0
5,16,0,2,1,1
7,15,0,2,0,0
16,10,2,1,1,1
10,5,0,2,0,0
2,4,2,2,1,1
17,13,0,2,1,0
5,11,1,0,0,0
3,10,1,1,2,1
3,5,2,1,2,1
5,12,0,1,1,0
20,8,0,0,1,0
8,1,2,1,0,0
2,9,1,1,2,1
12,11,1,2,1,1
13,8,1,0,1,0
16,10,1,1,2,1
13,6,1,0,0,0
3,8,0,1,1,1
20,3,2,1,1,1
20,6,0,2,2,1
5,14,0,2,0,1
13,5,0,2,2,1
5,15,2,1,0,1
3,6,2,1,2,1
10,3,2,2,1,1
13,1,1,0,2,0
6,15,2,2,0,1
18,16,2,1,2,1
13,11,2,2,1,1
1,8,0,2,0,1
7,14,2,1,1,1
7,18,1,2,2,1
4,4,0,1,0,0
20,11,0,0,1,0
11,9,2,2,0,1
1,1,2,1,1,1
20,17,0,1,1,0
17,17,1,2,2,1
16,7,2,1,1,1
10,3,1,1,1,0
1,12,0,0,2,1
11,11,2,1,0,0
14,15,2,1,2,1
20,15,0,1,2,0
11,10,0,2,1,0
12,15,2,1,2,1
15,3,0,0,2,0
14,1,0,2,1,0
16,4,2,2,1,1
20,13,2,1,0,0
7,16,2,1,0,1
18,3,2,0,2,1
7,8,2,1,0,0
3,8,1,2,0,1
6,10,2,0,0,0
7,15,2,0,0,0
